name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
678d_tpu_sketch_generator,678d7180,gpt-5-2025-08-07_40f1_tpusg_batch,success,158.32,8212,1764,6448,0.064813,0,0,F,tpusg,gpt-5
f897_tpu_sketch_generator,f897a6ae,gpt-5-2025-08-07_40f1_tpusg_batch,failure,451.78,48164,21952,26212,0.285672,0,0,F,tpusg,gpt-5
3a5d_sketch_generator,3a5de86f,gpt-5-2025-08-07_40f1_sg_batch,success,252.48,21889,7226,14663,0.1556625,0,0,F,sg,gpt-5
90f5_sketch_generator,90f5cb69,gpt-5-2025-08-07_40f1_sg_batch,success,301.6,27114,12254,14860,0.1639175,0,0,F,sg,gpt-5
4e62_sketch_generator,4e623cbc,gpt-5-2025-08-07_40f1_sg_batch,success,181.3,18884,8309,10575,0.11484025,0,0,F,sg,gpt-5
2fae_sketch_generator,2faeb813,gpt-5-2025-08-07_40f1_sg_batch,success,199.85,11487,3071,8416,0.08670275,0,0,F,sg,gpt-5
725c_sketch_generator,725c6661,gpt-5-2025-08-07_40f1_sg_batch,success,202.62,18235,7263,10972,0.11750275,0,0,F,sg,gpt-5
e2f0_sketch_generator,e2f01410,gpt-5-2025-08-07_40f1_sg_batch,success,299.13,21021,8662,12359,0.1344175,0,0,F,sg,gpt-5
938b_sketch_generator,938b5377,gpt-5-2025-08-07_40f1_sg_batch,success,370.24,20464,7388,13076,0.138699,0,0,F,sg,gpt-5
dd88_sketch_generator,dd88e70d,gpt-5-2025-08-07_40f1_sg_batch,success,325.43,19803,7158,12645,0.1341014999999999,0,0,F,sg,gpt-5
249b_sketch_generator,249bc995,gpt-5-2025-08-07_40f1_sg_batch,success,300.6,25436,12008,13428,0.147994,0,0,F,sg,gpt-5
4919_sketch_generator,49199441,gpt-5-2025-08-07_40f1_sg_batch,success,322.6,33629,16638,16991,0.1894115,0,0,F,sg,gpt-5
4627_sketch_generator,4627f94c,gpt-5-2025-08-07_40f1_sg_batch,success,284.06,21218,8562,12656,0.1359665,0,0,F,sg,gpt-5
bead_sketch_generator,bead19a2,gpt-5-2025-08-07_40f1_sg_batch,success,225.44,20155,8666,11489,0.1244265,0,0,F,sg,gpt-5
9319_sketch_generator,9319392b,gpt-5-2025-08-07_40f1_sg_batch,success,310.68,24789,11324,13465,0.148805,0,0,F,sg,gpt-5
e75a_sketch_generator,e75a438c,gpt-5-2025-08-07_40f1_sg_batch,success,249.65,21430,9076,12354,0.1335889999999999,0,0,F,sg,gpt-5
cba6_sketch_generator,cba6042a,gpt-5-2025-08-07_40f1_sg_batch,success,261.23,27484,12480,15004,0.164344,0,0,F,sg,gpt-5
3b44_sketch_generator,3b449b78,gpt-5-2025-08-07_40f1_sg_batch,success,154.13,19706,8351,11355,0.12398875,0,0,F,sg,gpt-5
0dfd_sketch_generator,0dfdffec,gpt-5-2025-08-07_40f1_sg_batch,success,209.69,12239,3069,9170,0.09553625,0,0,F,sg,gpt-5
778e_sketch_generator,778ec4bc,gpt-5-2025-08-07_40f1_sg_batch,success,189.47,19858,8377,11481,0.12528125,0,0,F,sg,gpt-5
a281_sketch_generator,a2812aef,gpt-5-2025-08-07_40f1_sg_batch,success,230.56,20571,8250,12321,0.1322265,0,0,F,sg,gpt-5
30f9_sketch_generator,30f9f1ab,gpt-5-2025-08-07_40f1_sg_batch,success,299.8,25592,11838,13754,0.1510415,0,0,F,sg,gpt-5
4ec7_sketch_generator,4ec7c427,gpt-5-2025-08-07_40f1_sg_batch,success,262.61,20823,9035,11788,0.12917375,0,0,F,sg,gpt-5
badc_sketch_generator,badc00ac,gpt-5-2025-08-07_40f1_sg_batch,success,248.99,26943,12142,14801,0.1631875,0,0,F,sg,gpt-5
b3e4_sketch_generator,b3e4c436,gpt-5-2025-08-07_40f1_sg_batch,success,216.56,27772,12417,15355,0.16777525,0,0,F,sg,gpt-5
49cd_sketch_generator,49cd8e0b,gpt-5-2025-08-07_40f1_sg_batch,success,177.92,19880,8534,11346,0.1241275,0,0,F,sg,gpt-5
bd29_sketch_generator,bd298eac,gpt-5-2025-08-07_40f1_sg_batch,success,183.15,19083,7118,11965,0.1272515,0,0,F,sg,gpt-5
f59a_sketch_generator,f59a55a9,gpt-5-2025-08-07_40f1_sg_batch,success,230.17,18881,8212,10669,0.115659,0,0,F,sg,gpt-5
e009_sketch_generator,e009e74d,gpt-5-2025-08-07_40f1_sg_batch,success,229.97,18997,8421,10576,0.11499025,0,0,F,sg,gpt-5
ddb5_sketch_generator,ddb5ff7c,gpt-5-2025-08-07_40f1_sg_batch,success,196.77,18400,7227,11173,0.1194677499999999,0,0,F,sg,gpt-5
dfb2_sketch_generator,dfb2d420,gpt-5-2025-08-07_40f1_sg_batch,success,210.65,19982,8477,11505,0.12435025,0,0,F,sg,gpt-5
6928_sketch_generator,692863bc,gpt-5-2025-08-07_40f1_sg_batch,success,213.65,19923,8008,11915,0.127864,0,0,F,sg,gpt-5
